"reserve_id","hotel_id","customer_id","reserve_datetime","checkin_date","checkin_time","checkout_date","people_num","total_price"
r55,h_55,c_9,2016-07-05 05:39:25,2016-07-21,11:30:00,2016-07-22,2,28400
r56,h_33,c_9,2016-11-04 14:04:58,2016-12-01,12:30:00,2016-12-03,4,60000
r57,h_25,c_9,2016-12-11 22:04:58,2016-12-20,09:30:00,2016-12-21,2,20200
r58,h_187,c_9,2017-04-02 17:22:52,2017-04-07,11:30:00,2017-04-10,3,164700
r59,h_245,c_10,2016-06-20 11:10:52,2016-07-08,11:00:00,2016-07-10,4,110400
r60,h_102,c_10,2016-10-23 01:56:42,2016-11-01,11:00:00,2016-11-03,3,36000
r61,h_62,c_10,2017-03-12 00:45:50,2017-04-08,10:00:00,2017-04-10,2,187200
r62,h_21,c_10,2017-07-29 17:48:41,2017-08-06,12:00:00,2017-08-08,4,89600
r63,h_142,c_10,2017-09-11 19:41:28,2017-09-13,10:00:00,2017-09-15,2,37200
r64,h_112,c_10,2018-03-07 00:43:22,2018-03-13,12:30:00,2018-03-14,3,117000
r65,h_221,c_11,2016-01-24 18:58:29,2016-02-19,12:30:00,2016-02-22,2,33000
r66,h_16,c_11,2016-07-09 18:47:35,2016-07-19,11:00:00,2016-07-22,4,272400
r67,h_142,c_11,2016-12-04 20:14:40,2016-12-16,11:30:00,2016-12-17,4,37200
r68,h_273,c_11,2017-03-25 19:06:52,2017-04-13,09:30:00,2017-04-15,4,359200
r69,h_37,c_11,2017-06-21 13:43:11,2017-07-03,12:30:00,2017-07-04,2,50200
r70,h_98,c_11,2017-12-18 08:30:21,2017-12-18,11:00:00,2017-12-19,4,75600
r71,h_183,c_11,2018-04-14 19:30:43,2018-04-19,11:00:00,2018-04-21,3,59400
r72,h_88,c_11,2018-06-04 07:11:35,2018-07-01,11:00:00,2018-07-04,1,72900
r73,h_15,c_12,2016-06-27 14:53:03,2016-07-26,12:30:00,2016-07-28,3,25800
r74,h_211,c_12,2016-10-02 17:16:35,2016-10-30,09:30:00,2016-10-31,1,10500
r75,h_66,c_12,2017-02-12 01:36:07,2017-02-17,10:30:00,2017-02-19,2,138400
r76,h_268,c_13,2016-05-17 13:30:36,2016-05-27,12:00:00,2016-05-30,1,61200
r77,h_228,c_13,2016-10-29 06:30:43,2016-11-09,10:30:00,2016-11-10,3,23100
r78,h_66,c_13,2017-02-05 15:23:46,2017-02-19,12:30:00,2017-02-21,1,69200
r79,h_218,c_13,2017-03-02 05:54:51,2017-03-19,10:30:00,2017-03-22,3,189000
r80,h_16,c_13,2017-08-18 14:39:39,2017-09-07,11:30:00,2017-09-10,4,272400
r81,h_205,c_13,2018-02-28 04:15:24,2018-02-28,09:30:00,2018-03-03,2,42600
r82,h_180,c_13,2018-05-08 04:08:51,2018-05-15,09:00:00,2018-05-18,1,163500
r83,h_98,c_15,2016-02-29 22:51:44,2016-03-10,10:00:00,2016-03-13,3,170100
r84,h_57,c_15,2016-06-07 21:24:59,2016-06-26,12:30:00,2016-06-29,2,246000
r85,h_245,c_15,2016-08-11 07:51:14,2016-08-18,09:30:00,2016-08-21,4,165600
r86,h_126,c_15,2016-09-26 00:57:30,2016-10-16,11:30:00,2016-10-17,1,19100
r87,h_52,c_15,2017-02-01 05:59:40,2017-02-21,11:00:00,2017-02-23,3,162600
r88,h_287,c_15,2017-07-25 14:18:56,2017-07-29,10:00:00,2017-08-01,1,43500
r89,h_252,c_15,2017-09-03 23:04:30,2017-09-08,11:00:00,2017-09-09,3,66600
r90,h_219,c_15,2017-12-17 10:06:39,2018-01-13,09:00:00,2018-01-14,4,41200
r91,h_232,c_16,2016-04-23 22:14:26,2016-05-11,09:00:00,2016-05-12,1,28500
r92,h_2,c_16,2016-10-17 10:01:09,2016-10-18,11:30:00,2016-10-20,4,211200
r93,h_19,c_16,2017-03-04 13:13:38,2017-03-22,11:30:00,2017-03-24,4,96000
r94,h_242,c_16,2017-08-04 08:00:46,2017-08-25,12:00:00,2017-08-26,1,8300
r95,h_186,c_16,2017-11-17 09:57:42,2017-11-29,09:30:00,2017-12-02,4,91200
r96,h_127,c_17,2016-06-08 22:39:12,2016-07-08,10:00:00,2016-07-09,4,168000
r97,h_133,c_17,2016-12-04 05:26:50,2016-12-14,11:00:00,2016-12-16,2,50400
r98,h_57,c_17,2017-02-12 20:18:00,2017-02-20,10:00:00,2017-02-22,2,164000
r99,h_262,c_17,2017-06-02 12:53:09,2017-06-03,10:00:00,2017-06-05,4,152000
r100,h_64,c_17,2017-11-21 21:53:25,2017-12-08,12:30:00,2017-12-09,3,48000
r101,h_168,c_17,2018-04-19 02:43:02,2018-05-12,11:30:00,2018-05-14,3,79800
r102,h_253,c_17,2018-08-20 13:02:17,2018-09-03,09:30:00,2018-09-04,1,5200
r103,h_118,c_18,2016-05-24 10:42:22,2016-05-31,09:00:00,2016-06-03,4,129600
r104,h_88,c_19,2016-05-21 09:08:53,2016-06-05,09:30:00,2016-06-07,1,48600
r105,h_233,c_21,2016-02-28 09:18:25,2016-03-24,09:30:00,2016-03-26,3,53400
r106,h_266,c_21,2016-07-21 11:10:16,2016-07-26,10:30:00,2016-07-28,4,92800
r107,h_257,c_21,2016-12-11 09:38:58,2016-12-29,12:00:00,2017-01-01,3,72000
r108,h_3,c_21,2017-05-14 13:38:33,2017-05-31,11:30:00,2017-06-02,1,82600
r109,h_167,c_21,2017-06-05 19:12:54,2017-06-14,10:00:00,2017-06-16,3,167400
r110,h_289,c_22,2016-06-29 08:56:44,2016-07-29,09:30:00,2016-08-01,1,60300
r111,h_146,c_22,2016-12-31 06:14:03,2017-01-16,10:00:00,2017-01-18,3,255600
r112,h_70,c_22,2017-04-07 13:08:25,2017-04-27,09:30:00,2017-04-28,3,23400
r113,h_13,c_22,2017-09-16 02:42:03,2017-10-09,11:00:00,2017-10-11,2,18800
r114,h_33,c_22,2018-04-07 16:58:44,2018-04-08,11:30:00,2018-04-11,4,90000
r115,h_88,c_22,2018-08-24 12:36:44,2018-09-11,12:30:00,2018-09-13,2,97200
r116,h_82,c_22,2019-01-23 15:52:01,2019-02-08,12:30:00,2019-02-09,2,25400
r117,h_221,c_22,2019-02-25 03:10:39,2019-03-13,11:30:00,2019-03-15,1,11000
r118,h_296,c_24,2016-04-27 08:49:46,2016-05-07,12:00:00,2016-05-09,4,137600
r119,h_300,c_24,2016-09-13 17:46:44,2016-09-13,09:00:00,2016-09-15,4,130400
r120,h_223,c_24,2016-12-15 17:34:56,2017-01-01,09:00:00,2017-01-03,2,274000
r121,h_216,c_24,2017-02-05 18:19:39,2017-03-04,09:30:00,2017-03-05,2,38600
r122,h_235,c_25,2016-03-08 03:58:16,2016-03-09,09:30:00,2016-03-11,1,8400
r123,h_69,c_25,2016-05-02 22:17:12,2016-05-02,10:30:00,2016-05-05,2,61200
r124,h_64,c_25,2016-06-28 22:29:14,2016-07-06,12:30:00,2016-07-07,4,64000
r125,h_23,c_26,2016-01-29 18:51:24,2016-02-18,12:30:00,2016-02-21,4,781200
r126,h_138,c_26,2016-05-29 19:47:10,2016-06-06,10:30:00,2016-06-07,2,19200
r127,h_138,c_26,2016-09-10 06:22:03,2016-09-13,10:00:00,2016-09-16,3,86400
r128,h_177,c_26,2016-11-20 21:48:48,2016-12-15,09:00:00,2016-12-18,3,630900
r129,h_255,c_26,2017-06-09 16:37:12,2017-07-01,10:30:00,2017-07-02,3,115500
r130,h_247,c_26,2017-07-09 23:10:14,2017-08-05,11:30:00,2017-08-06,3,213600
r131,h_269,c_26,2017-12-17 09:21:43,2018-01-06,11:30:00,2018-01-08,1,135200
r132,h_295,c_26,2018-05-05 04:32:58,2018-05-19,11:00:00,2018-05-20,2,11200
r133,h_242,c_27,2016-06-15 04:53:54,2016-07-07,10:00:00,2016-07-09,1,16600
r134,h_105,c_27,2016-07-18 23:35:27,2016-07-30,09:30:00,2016-07-31,3,30900
r135,h_91,c_27,2016-12-16 10:42:36,2017-01-04,10:30:00,2017-01-06,2,184000
r136,h_110,c_27,2017-02-26 17:20:34,2017-03-24,10:00:00,2017-03-25,3,79200
r137,h_37,c_27,2017-07-28 11:33:00,2017-08-01,12:30:00,2017-08-02,2,50200
r138,h_151,c_27,2017-12-09 20:32:44,2017-12-25,11:30:00,2017-12-26,1,41500
r139,h_143,c_27,2018-04-27 08:16:46,2018-05-27,11:00:00,2018-05-30,2,118800
r140,h_221,c_28,2016-03-13 23:16:53,2016-03-16,09:30:00,2016-03-18,4,44000
r141,h_156,c_28,2016-05-28 07:18:18,2016-06-08,10:30:00,2016-06-11,1,55200
r142,h_215,c_28,2016-07-23 23:33:42,2016-07-27,09:30:00,2016-07-29,4,123200
r143,h_222,c_29,2016-03-11 20:22:07,2016-03-30,12:30:00,2016-03-31,1,20000
r144,h_98,c_29,2016-06-30 17:33:34,2016-07-12,10:00:00,2016-07-15,3,170100
r145,h_206,c_29,2016-12-05 19:27:14,2016-12-26,09:30:00,2016-12-29,1,72600
r146,h_294,c_30,2016-03-31 02:38:28,2016-04-22,09:30:00,2016-04-23,1,40100
r147,h_175,c_31,2016-01-16 11:31:19,2016-02-14,11:30:00,2016-02-17,1,57000
r148,h_245,c_31,2016-04-07 23:48:27,2016-04-09,11:30:00,2016-04-12,1,41400
r149,h_81,c_31,2016-08-25 05:32:05,2016-09-01,11:00:00,2016-09-02,1,12400
r150,h_70,c_31,2017-01-08 15:02:48,2017-02-07,11:30:00,2017-02-10,2,46800
r151,h_133,c_31,2017-06-11 21:05:11,2017-07-10,11:30:00,2017-07-13,3,113400
r152,h_282,c_31,2017-08-26 23:16:15,2017-09-02,11:30:00,2017-09-04,2,84400
r153,h_165,c_31,2018-02-05 08:13:38,2018-02-13,11:00:00,2018-02-14,4,71200
r154,h_92,c_33,2016-02-18 04:36:31,2016-03-13,12:30:00,2016-03-16,4,412800
r155,h_70,c_33,2016-06-16 02:43:13,2016-07-15,12:00:00,2016-07-16,4,31200
r156,h_40,c_34,2016-06-06 20:04:33,2016-06-30,12:30:00,2016-07-01,3,26700
r157,h_198,c_34,2016-09-10 15:17:45,2016-09-17,12:30:00,2016-09-20,3,173700
r158,h_16,c_34,2016-09-20 13:46:19,2016-09-29,12:00:00,2016-09-30,3,68100
r159,h_92,c_34,2016-12-30 02:10:30,2017-01-04,11:00:00,2017-01-06,2,137600
r160,h_110,c_34,2017-03-21 01:10:39,2017-04-04,11:00:00,2017-04-05,1,26400
r161,h_105,c_34,2017-07-27 00:59:25,2017-08-12,09:30:00,2017-08-13,4,41200
r162,h_160,c_34,2017-12-29 23:34:35,2018-01-16,11:00:00,2018-01-17,2,24800
r163,h_70,c_36,2016-06-29 10:35:22,2016-07-19,11:00:00,2016-07-22,3,70200
r164,h_40,c_36,2016-12-06 05:50:33,2016-12-30,10:30:00,2017-01-01,4,71200
r165,h_224,c_36,2017-03-16 07:19:06,2017-04-13,09:00:00,2017-04-16,4,48000
r166,h_121,c_36,2017-06-02 12:26:17,2017-06-26,09:00:00,2017-06-29,2,138000
r167,h_78,c_36,2017-11-30 07:10:04,2017-12-11,11:30:00,2017-12-14,2,64200
r168,h_178,c_36,2017-12-24 03:37:39,2018-01-16,09:30:00,2018-01-18,2,84000
r169,h_239,c_36,2018-06-17 17:22:09,2018-06-30,10:00:00,2018-07-03,1,169500
r170,h_181,c_39,2016-05-06 09:40:45,2016-05-21,11:30:00,2016-05-24,2,50400
r171,h_251,c_39,2016-07-06 15:56:31,2016-07-10,09:30:00,2016-07-11,2,11400
r172,h_255,c_39,2016-07-28 10:40:45,2016-08-08,09:30:00,2016-08-09,3,115500
r173,h_240,c_39,2016-10-01 11:21:45,2016-10-09,11:00:00,2016-10-11,1,53400
r174,h_22,c_39,2017-01-22 01:46:15,2017-02-18,10:00:00,2017-02-21,3,96300
r175,h_204,c_40,2016-06-03 06:57:50,2016-06-27,09:30:00,2016-06-28,1,12100
r176,h_229,c_40,2016-11-06 21:53:45,2016-11-11,12:00:00,2016-11-12,2,14800
r177,h_236,c_41,2016-06-13 05:01:58,2016-07-04,09:30:00,2016-07-07,2,93000
r178,h_82,c_41,2016-07-28 18:38:18,2016-08-19,11:30:00,2016-08-21,2,50800
r179,h_153,c_41,2017-01-02 05:32:31,2017-01-22,11:30:00,2017-01-25,2,84600
r180,h_13,c_41,2017-05-12 09:22:23,2017-06-08,12:30:00,2017-06-09,3,14100
r181,h_110,c_41,2017-10-28 16:22:31,2017-11-11,12:00:00,2017-11-14,4,316800
r182,h_42,c_41,2017-12-16 20:21:24,2018-01-10,09:00:00,2018-01-13,2,67800
r183,h_69,c_41,2018-04-15 20:33:37,2018-04-30,11:30:00,2018-05-03,3,91800
r184,h_297,c_41,2018-09-22 08:50:48,2018-10-21,12:30:00,2018-10-24,3,270000
r185,h_75,c_43,2016-03-23 06:27:35,2016-04-07,09:00:00,2016-04-10,4,97200
r186,h_256,c_44,2016-01-28 08:19:36,2016-02-10,12:00:00,2016-02-13,4,414000
r187,h_107,c_44,2016-06-12 14:19:17,2016-06-28,11:30:00,2016-06-30,2,75200
r188,h_176,c_45,2016-06-19 16:31:37,2016-06-21,10:00:00,2016-06-24,1,52200
r189,h_284,c_45,2016-10-03 07:25:08,2016-10-18,09:00:00,2016-10-21,3,90000
r190,h_139,c_45,2016-12-22 17:37:19,2017-01-03,11:00:00,2017-01-06,3,142200
r191,h_239,c_45,2017-03-11 07:34:10,2017-04-09,11:30:00,2017-04-12,1,169500
r192,h_93,c_45,2017-05-03 20:21:37,2017-06-01,11:30:00,2017-06-02,2,19600
r193,h_4,c_45,2017-07-19 15:13:50,2017-07-31,11:00:00,2017-08-01,4,20800
r194,h_217,c_45,2017-10-19 13:56:31,2017-10-22,09:30:00,2017-10-25,4,136800
r195,h_148,c_45,2018-03-04 11:06:01,2018-03-04,11:00:00,2018-03-05,1,9800
r196,h_294,c_46,2016-01-11 07:05:39,2016-02-02,10:00:00,2016-02-05,1,120300
r197,h_38,c_46,2016-03-18 06:25:54,2016-04-13,09:00:00,2016-04-15,3,336000
r198,h_56,c_46,2016-07-05 14:16:55,2016-07-23,12:30:00,2016-07-24,2,63800
r199,h_285,c_46,2016-12-05 06:32:23,2016-12-14,12:30:00,2016-12-17,2,71400
r200,h_215,c_47,2016-06-03 04:37:15,2016-06-03,11:00:00,2016-06-05,2,61600
r201,h_24,c_47,2016-11-22 21:12:12,2016-12-03,10:00:00,2016-12-06,3,41400
r202,h_284,c_47,2017-03-15 06:10:46,2017-04-08,12:00:00,2017-04-10,2,40000
r203,h_127,c_47,2017-09-24 00:33:57,2017-10-07,12:00:00,2017-10-08,2,84000
r204,h_215,c_47,2017-11-28 01:49:55,2017-12-21,10:00:00,2017-12-24,1,46200
r205,h_31,c_47,2018-02-19 07:46:23,2018-02-22,11:30:00,2018-02-25,4,211200
r206,h_271,c_48,2016-06-24 17:02:52,2016-07-03,09:30:00,2016-07-04,2,17400
r207,h_274,c_48,2016-11-04 02:19:49,2016-11-04,12:00:00,2016-11-05,3,47100
r208,h_255,c_49,2016-04-19 20:37:31,2016-05-13,12:30:00,2016-05-14,3,115500
r209,h_32,c_49,2016-05-21 03:54:23,2016-06-10,10:30:00,2016-06-11,4,57200
r210,h_1,c_49,2016-07-09 23:28:18,2016-08-05,12:00:00,2016-08-08,2,156600
r211,h_277,c_49,2016-11-26 15:13:16,2016-11-29,10:00:00,2016-12-02,3,117900
r212,h_218,c_49,2017-04-01 17:57:30,2017-04-20,11:30:00,2017-04-21,1,21000
r213,h_275,c_49,2017-05-15 12:57:10,2017-05-16,09:00:00,2017-05-18,1,37200
r214,h_286,c_49,2017-07-01 18:28:10,2017-07-08,12:00:00,2017-07-10,4,177600
r215,h_291,c_49,2017-10-14 18:59:28,2017-11-09,09:30:00,2017-11-10,2,67000
r216,h_249,c_50,2016-01-12 04:27:08,2016-02-05,10:00:00,2016-02-06,3,146100
r217,h_114,c_50,2016-02-18 12:27:18,2016-03-10,10:30:00,2016-03-11,2,38400
r218,h_249,c_50,2016-06-16 15:33:26,2016-06-19,12:00:00,2016-06-20,1,48700
r219,h_275,c_50,2016-08-05 05:42:33,2016-08-12,09:30:00,2016-08-14,1,37200
r220,h_193,c_50,2016-08-19 16:22:36,2016-08-30,12:00:00,2016-08-31,2,117000
r221,h_231,c_51,2016-02-08 14:40:50,2016-02-19,10:30:00,2016-02-20,4,58400
r222,h_283,c_51,2016-06-09 22:36:12,2016-07-04,10:00:00,2016-07-05,4,81200
r223,h_58,c_51,2016-12-22 22:19:48,2017-01-02,10:30:00,2017-01-04,4,268000
r224,h_102,c_51,2017-02-19 13:55:33,2017-03-02,10:00:00,2017-03-03,3,18000
r225,h_61,c_51,2017-05-13 22:26:14,2017-05-30,12:30:00,2017-06-01,2,299200
r226,h_64,c_51,2017-06-13 01:35:31,2017-06-30,12:00:00,2017-07-03,4,192000
r227,h_66,c_51,2017-09-04 11:24:24,2017-09-14,11:00:00,2017-09-16,4,276800
r228,h_133,c_51,2018-01-25 13:08:04,2018-02-20,12:30:00,2018-02-22,1,25200
r229,h_134,c_52,2016-06-05 00:08:03,2016-06-25,10:30:00,2016-06-26,1,67600
r230,h_77,c_52,2016-11-26 05:44:51,2016-12-12,09:30:00,2016-12-13,1,44200
r231,h_197,c_52,2017-04-21 14:37:37,2017-04-26,11:00:00,2017-04-28,4,32000
r232,h_37,c_52,2017-05-08 18:13:33,2017-05-23,12:30:00,2017-05-26,4,301200
r233,h_162,c_52,2017-08-27 11:21:30,2017-09-13,12:00:00,2017-09-15,1,21000
r234,h_67,c_53,2016-02-03 03:35:12,2016-03-03,11:00:00,2016-03-06,2,190800
r235,h_32,c_54,2016-02-08 02:35:48,2016-02-19,10:30:00,2016-02-20,3,42900
r236,h_111,c_54,2016-04-02 18:54:09,2016-04-24,11:00:00,2016-04-25,1,43600
r237,h_6,c_54,2016-09-26 11:08:41,2016-10-04,09:30:00,2016-10-06,1,99000
r238,h_26,c_54,2016-11-19 21:37:30,2016-11-24,10:30:00,2016-11-27,3,449100
r239,h_179,c_54,2017-04-16 04:25:38,2017-05-15,12:30:00,2017-05-17,4,44800
r240,h_243,c_54,2017-09-13 19:49:44,2017-09-20,10:00:00,2017-09-22,3,166200
r241,h_191,c_54,2017-12-24 10:25:27,2018-01-19,09:30:00,2018-01-21,3,247800
r242,h_191,c_55,2016-05-02 12:13:22,2016-05-12,11:00:00,2016-05-14,4,330400
r243,h_132,c_56,2016-04-14 10:18:16,2016-04-29,09:00:00,2016-05-02,2,122400
r244,h_154,c_57,2016-02-19 02:54:28,2016-03-10,12:30:00,2016-03-11,2,19400
r245,h_246,c_57,2016-03-20 08:36:49,2016-03-24,11:30:00,2016-03-26,4,310400
r246,h_118,c_57,2016-08-14 12:20:29,2016-09-04,11:30:00,2016-09-07,2,64800
r247,h_144,c_58,2016-01-20 14:03:19,2016-02-15,10:30:00,2016-02-16,3,30000
r248,h_244,c_58,2016-06-22 22:16:59,2016-06-25,11:00:00,2016-06-28,2,59400
r249,h_115,c_58,2016-10-28 02:35:50,2016-11-13,12:30:00,2016-11-16,2,246000
r250,h_109,c_58,2017-02-13 02:43:04,2017-02-27,12:00:00,2017-02-28,1,10500
r251,h_22,c_58,2017-05-15 07:01:04,2017-06-09,12:30:00,2017-06-11,3,64200
r252,h_238,c_58,2017-08-09 22:11:44,2017-08-20,10:00:00,2017-08-21,2,17600
r253,h_125,c_58,2018-01-14 11:13:30,2018-02-12,11:30:00,2018-02-13,2,21600
r254,h_137,c_59,2016-02-28 16:51:37,2016-03-08,09:00:00,2016-03-10,4,49600
r255,h_37,c_59,2016-05-27 05:24:35,2016-06-19,12:30:00,2016-06-20,3,75300
r256,h_97,c_59,2016-11-17 23:18:57,2016-11-18,12:00:00,2016-11-19,1,20900
r257,h_20,c_60,2016-01-04 06:14:07,2016-01-15,09:00:00,2016-01-17,4,56800
r258,h_175,c_60,2016-01-31 15:45:31,2016-02-25,10:30:00,2016-02-26,1,19000
r259,h_70,c_61,2016-04-17 21:07:41,2016-04-29,11:30:00,2016-04-30,4,31200
r260,h_173,c_61,2016-06-02 00:12:41,2016-06-26,12:30:00,2016-06-28,1,80000
r261,h_5,c_62,2016-01-20 06:57:16,2016-01-30,11:30:00,2016-01-31,3,40500
r262,h_56,c_62,2016-07-01 01:55:51,2016-07-10,10:00:00,2016-07-13,2,191400
r263,h_236,c_62,2016-11-15 15:33:30,2016-11-19,09:30:00,2016-11-20,2,31000
r264,h_66,c_63,2016-02-04 03:51:39,2016-02-13,10:30:00,2016-02-14,1,34600
r265,h_28,c_63,2016-08-12 04:48:03,2016-09-07,09:00:00,2016-09-10,3,51300
r266,h_186,c_64,2016-03-16 06:09:34,2016-04-14,11:00:00,2016-04-17,3,68400
r267,h_117,c_64,2016-10-08 10:57:50,2016-10-20,10:00:00,2016-10-23,4,176400
r268,h_90,c_64,2016-11-03 22:13:23,2016-11-30,10:30:00,2016-12-02,3,48000
r269,h_174,c_64,2017-03-22 08:16:48,2017-04-15,11:00:00,2017-04-18,3,198000
r270,h_94,c_64,2017-09-04 15:50:02,2017-10-01,12:00:00,2017-10-04,4,188400
r271,h_222,c_64,2017-12-04 23:56:35,2017-12-08,10:30:00,2017-12-10,2,80000
r272,h_21,c_65,2016-05-31 08:23:26,2016-06-05,09:30:00,2016-06-07,2,44800
r273,h_114,c_65,2016-10-22 03:06:35,2016-10-25,12:30:00,2016-10-27,1,38400
r274,h_164,c_65,2017-02-13 07:13:55,2017-02-23,10:30:00,2017-02-25,2,50800
r275,h_44,c_65,2017-06-21 23:14:04,2017-07-07,11:30:00,2017-07-08,1,4900
r276,h_237,c_66,2016-06-16 11:27:52,2016-07-12,10:30:00,2016-07-14,1,20600
r277,h_89,c_66,2016-11-24 22:17:57,2016-11-25,10:00:00,2016-11-26,4,35200
r278,h_12,c_66,2017-01-21 17:11:19,2017-02-10,11:00:00,2017-02-13,4,80400
r279,h_77,c_66,2017-05-10 11:30:02,2017-05-19,11:30:00,2017-05-20,2,88400
r280,h_82,c_66,2017-10-15 10:19:17,2017-11-02,10:30:00,2017-11-04,3,76200
r281,h_260,c_66,2017-11-14 08:52:36,2017-12-07,10:30:00,2017-12-08,1,41000
r282,h_295,c_67,2016-03-03 22:28:11,2016-03-30,10:30:00,2016-04-02,4,67200
r283,h_166,c_67,2016-06-02 03:04:10,2016-06-29,11:00:00,2016-06-30,3,49800
